MaxEstLhood,MaxObsLhood,mutation_model,,,,,,,,,,,,,
-218818.706,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218819.233,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218821.625,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218826.584,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218828.323,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218835.042,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218844.108,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218860.239,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218861.881,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218865.374,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218871.236,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218875,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218883.033,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218890.951,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218896.22,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218908.085,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218936.854,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218942.559,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-220313.703,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-220316.826,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-220323.321,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-220327.044,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-220328.088,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-220328.242,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-220328.505,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-220328.829,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-220332.832,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-220333.836,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-220334.898,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-220339.325,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
