lhoods_value,mutation_model
-218704.836,mut_8e-10_INB70
-218728.766,mut_8e-10_INB70
-218729.273,mut_8e-10_INB70
-218749.485,mut_8e-10_INB70
-218750.513,mut_8e-10_INB70
-218752.288,mut_8e-10_INB70
-218753.22,mut_8e-10_INB70
-218753.271,mut_8e-10_INB70
-218758.349,mut_8e-10_INB70
-218770.164,mut_8e-10_INB70
-218772.889,mut_8e-10_INB70
-218775.105,mut_8e-10_INB70
-218782.998,mut_8e-10_INB70
-218787.982,mut_8e-10_INB70
-218788.508,mut_8e-10_INB70
-218793.255,mut_8e-10_INB70
-218802.984,mut_8e-10_INB70
-218805.017,mut_8e-10_INB70
-218806.403,mut_8e-10_INB70
-218808.695,mut_8e-10_INB70
-218813.826,mut_8e-10_INB70
-218820.785,mut_8e-10_INB70
-218822.567,mut_8e-10_INB70
-218824.332,mut_8e-10_INB70
-218827.319,mut_8e-10_INB70
-218828.639,mut_8e-10_INB70
-218831.182,mut_8e-10_INB70
-218839.719,mut_8e-10_INB70
-218843.006,mut_8e-10_INB70
-218845.978,mut_8e-10_INB70
-218852.28,mut_8e-10_INB70
-218856.9,mut_8e-10_INB70
-218857.526,mut_8e-10_INB70
-218873.826,mut_8e-10_INB70
-218874.529,mut_8e-10_INB70
-218877.435,mut_8e-10_INB70
-218881.658,mut_8e-10_INB70
-218887.509,mut_8e-10_INB70
-218890.987,mut_8e-10_INB70
-218917.256,mut_8e-10_INB70
-218923.902,mut_8e-10_INB70
-218938.131,mut_8e-10_INB70
-218960.614,mut_8e-10_INB70
